time,supplied
2021-05-31 18:00:00,$37.7M
2021-05-31 18:30:00,$38.1M
2021-05-31 19:00:00,$38.2M
2021-05-31 19:30:00,$38.4M
2021-05-31 20:00:00,$38.5M
2021-05-31 20:30:00,$38.0M
2021-05-31 21:00:00,$37.9M
2021-05-31 21:30:00,$37.3M
2021-05-31 22:00:00,$37.4M
2021-05-31 22:30:00,$37.7M
2021-05-31 23:00:00,$37.3M
2021-05-31 23:30:00,$37.5M
2021-06-01 00:00:00,$37.5M
2021-06-01 00:30:00,$38.5M
2021-06-01 01:00:00,$38.9M
2021-06-01 01:30:00,$38.6M
2021-06-01 02:00:00,$38.3M
2021-06-01 02:30:00,$38.4M
2021-06-01 03:00:00,$38.3M
2021-06-01 03:30:00,$38.6M
2021-06-01 04:00:00,$37.5M
2021-06-01 04:30:00,$37.5M
2021-06-01 05:00:00,$37.6M
2021-06-01 05:30:00,$38.1M
2021-06-01 06:00:00,$37.9M
2021-06-01 06:30:00,$38.1M
2021-06-01 07:00:00,$38.2M
2021-06-01 07:30:00,$37.8M
2021-06-01 08:00:00,$37.7M
2021-06-01 08:30:00,$37.6M
2021-06-01 09:00:00,$38.4M
2021-06-01 09:30:00,$38.3M
2021-06-01 10:00:00,$37.9M
2021-06-01 10:30:00,$37.6M
2021-06-01 11:00:00,$37.3M
2021-06-01 11:30:00,$37.5M
2021-06-01 12:00:00,$37.2M
2021-06-01 12:30:00,$37.1M
2021-06-01 13:00:00,$37.5M
2021-06-01 13:30:00,$37.5M
2021-06-01 14:00:00,$37.6M
2021-06-01 14:30:00,$37.3M

