day,project,outstanding_usd_value
2021-02-13T00:00:00+00:00,Compound,7885119109.861513
2021-02-11T00:00:00+00:00,Aave,6612092734.880286
2021-02-18T00:00:00+00:00,Compound,9055857505.368364
2021-01-20T00:00:00+00:00,MakerDAO,4335332953.753603
2021-03-21T00:00:00+00:00,Aave,7084917305.219451
2021-02-08T00:00:00+00:00,MakerDAO,5796600144.565855
2021-01-24T00:00:00+00:00,Compound,5078305696.109765
2021-04-24T00:00:00+00:00,MakerDAO,7759634228.727127
2021-04-04T00:00:00+00:00,Aave,7980664757.422516
2021-02-03T00:00:00+00:00,MakerDAO,5427914635.670448
2020-12-07T00:00:00+00:00,MakerDAO,2311425747.936744
2021-01-26T00:00:00+00:00,Compound,5218637551.064468
2021-03-29T00:00:00+00:00,MakerDAO,6401262648.661844
2020-12-13T00:00:00+00:00,MakerDAO,2269347402.0965385
2020-12-07T00:00:00+00:00,Compound,3320925742.5990434
2021-05-10T00:00:00+00:00,MakerDAO,12800621132.349926
2021-01-23T00:00:00+00:00,Compound,5019050115.704411
2021-02-21T00:00:00+00:00,Compound,9396823713.471453
2021-03-25T00:00:00+00:00,Compound,10469873282.143688
2021-02-18T00:00:00+00:00,MakerDAO,6840670557.941657
2021-02-15T00:00:00+00:00,MakerDAO,6392838568.643774
2021-01-03T00:00:00+00:00,Aave,2665562108.6441426
2021-03-08T00:00:00+00:00,MakerDAO,6318057532.451985
2021-01-30T00:00:00+00:00,MakerDAO,4703772452.760491
2021-04-19T00:00:00+00:00,Aave,8129289878.811646
2021-04-02T00:00:00+00:00,MakerDAO,7104422724.561791
2021-02-15T00:00:00+00:00,Compound,8022053267.399702
2021-04-26T00:00:00+00:00,Aave,9638657186.820412
2021-05-01T00:00:00+00:00,Aave,13853935172.665152
2020-12-10T00:00:00+00:00,Aave,1809116701.3671193
2021-02-06T00:00:00+00:00,MakerDAO,5965875746.904264
2021-02-15T00:00:00+00:00,Aave,6677297934.222009
2021-05-08T00:00:00+00:00,MakerDAO,11881050793.312277
2021-04-12T00:00:00+00:00,MakerDAO,7771222800.274401
2021-03-06T00:00:00+00:00,Aave,6288126818.891936
2021-02-28T00:00:00+00:00,Compound,8104055173.28507
2021-04-24T00:00:00+00:00,Aave,7392055120.991289
2020-11-26T00:00:00+00:00,MakerDAO,2100400074.3011243
2021-03-17T00:00:00+00:00,Compound,11068182154.039373
2020-11-27T00:00:00+00:00,Aave,1728702480.6305432
