"Time","sum(fuse_pool_assets_borrow_usd)"
2021-06-01 10:00:00,$10.4M
2021-06-01 10:30:00,$10.3M
2021-06-01 11:00:00,$10.3M
2021-06-01 11:30:00,$10.3M
2021-06-01 12:00:00,$10.3M
2021-06-01 12:30:00,$10.3M
2021-06-01 13:00:00,$10.4M
2021-06-01 13:30:00,$10.4M
2021-06-01 14:00:00,$10.4M
2021-06-01 14:30:00,$10.3M

