day,outstanding_usd_value,project
2020-12-01T00:00:00+00:00,444095570.4285152,Aave
2020-12-01T00:00:00+00:00,1620659228.109664,Compound
2020-12-01T00:00:00+00:00,1043615023.7692777,MakerDAO
2020-12-02T00:00:00+00:00,440823949.7222618,Aave
2020-12-02T00:00:00+00:00,1660519845.0108309,Compound
2020-12-02T00:00:00+00:00,1057282770.0971656,MakerDAO
2020-12-03T00:00:00+00:00,460847952.2174078,Aave
2020-12-03T00:00:00+00:00,1673728617.7759523,Compound
2020-12-03T00:00:00+00:00,1060429577.2290115,MakerDAO
2020-12-04T00:00:00+00:00,454119346.84543097,Aave
2020-12-04T00:00:00+00:00,1617106148.4202368,Compound
2020-12-04T00:00:00+00:00,1054197374.2302247,MakerDAO
2020-12-05T00:00:00+00:00,437499200.4263175,Aave
2020-12-05T00:00:00+00:00,1674086240.208641,Compound
2020-12-05T00:00:00+00:00,1056779482.8942351,MakerDAO
2020-12-06T00:00:00+00:00,439280232.33281004,Aave
2020-12-06T00:00:00+00:00,1664437386.8156707,Compound
2020-12-06T00:00:00+00:00,1055090393.8780031,MakerDAO
2020-12-07T00:00:00+00:00,443922833.3532881,Aave
2020-12-07T00:00:00+00:00,1699074669.4698923,Compound
2020-12-07T00:00:00+00:00,1049640148.7002817,MakerDAO
2020-12-08T00:00:00+00:00,446548614.0963406,Aave
2020-12-08T00:00:00+00:00,1742726487.9815464,Compound
2020-12-08T00:00:00+00:00,1054464344.2488116,MakerDAO
2020-12-09T00:00:00+00:00,433053413.8773421,Aave
2020-12-09T00:00:00+00:00,1688613870.023297,Compound
2020-12-09T00:00:00+00:00,1063753751.9185852,MakerDAO
2020-12-10T00:00:00+00:00,429327798.4117513,Aave
2020-12-10T00:00:00+00:00,1703073533.9705706,Compound
2020-12-10T00:00:00+00:00,1058233395.3475615,MakerDAO
2020-12-11T00:00:00+00:00,420439268.20424604,Aave
2020-12-11T00:00:00+00:00,1720290962.675274,Compound
2020-12-11T00:00:00+00:00,1043979093.0978677,MakerDAO
2020-12-12T00:00:00+00:00,427286567.36213607,Aave
2020-12-12T00:00:00+00:00,1761825467.9615505,Compound
2020-12-12T00:00:00+00:00,1079101128.39627,MakerDAO
2020-12-13T00:00:00+00:00,435577382.4329556,Aave
2020-12-13T00:00:00+00:00,1787089868.041378,Compound
2020-12-13T00:00:00+00:00,1073341909.5957682,MakerDAO
2020-12-14T00:00:00+00:00,441173257.6283233,Aave
2020-12-14T00:00:00+00:00,1776958953.142148,Compound
2020-12-14T00:00:00+00:00,1071432813.6711088,MakerDAO
2020-12-15T00:00:00+00:00,444023765.5400853,Aave
2020-12-15T00:00:00+00:00,1838191656.4405339,Compound
2020-12-15T00:00:00+00:00,1076760221.4398015,MakerDAO
2020-12-16T00:00:00+00:00,459305802.806695,Aave
2020-12-16T00:00:00+00:00,1833293687.516816,Compound
2020-12-16T00:00:00+00:00,1095797974.045557,MakerDAO
2020-12-17T00:00:00+00:00,476109873.87149304,Aave
2020-12-17T00:00:00+00:00,1836575659.7077882,Compound
2020-12-17T00:00:00+00:00,1107600003.7111685,MakerDAO
2020-12-18T00:00:00+00:00,473204086.1083963,Aave
2020-12-18T00:00:00+00:00,1871216800.2086546,Compound
2020-12-18T00:00:00+00:00,1106607992.83199,MakerDAO
2020-12-19T00:00:00+00:00,483763670.58872,Aave
2020-12-19T00:00:00+00:00,1851865639.8177414,Compound
2020-12-19T00:00:00+00:00,1116365361.1785104,MakerDAO
2020-12-20T00:00:00+00:00,492579101.7054462,Aave
2020-12-20T00:00:00+00:00,1834120338.3157744,Compound
2020-12-20T00:00:00+00:00,1106752714.892008,MakerDAO
2020-12-21T00:00:00+00:00,492146287.10393137,Aave
2020-12-21T00:00:00+00:00,1830384433.5279236,Compound
2020-12-21T00:00:00+00:00,1105233578.8639066,MakerDAO
2020-12-22T00:00:00+00:00,481313911.8792694,Aave
2020-12-22T00:00:00+00:00,1856596005.818996,Compound
2020-12-22T00:00:00+00:00,1095960666.2712371,MakerDAO
2020-12-23T00:00:00+00:00,483236393.61096007,Aave
2020-12-23T00:00:00+00:00,1857793298.8202639,Compound
2020-12-23T00:00:00+00:00,1097396309.5690203,MakerDAO
2020-12-24T00:00:00+00:00,474188361.3376234,Aave
2020-12-24T00:00:00+00:00,1861698338.620825,Compound
2020-12-24T00:00:00+00:00,1097056717.0185869,MakerDAO
2020-12-25T00:00:00+00:00,475657791.1292671,Aave
2020-12-25T00:00:00+00:00,1873137459.0603216,Compound
2020-12-25T00:00:00+00:00,1096954316.184648,MakerDAO
2020-12-26T00:00:00+00:00,483079539.38795227,Aave
2020-12-26T00:00:00+00:00,1872033063.198387,Compound
2020-12-26T00:00:00+00:00,1101559765.9342299,MakerDAO
2020-12-27T00:00:00+00:00,491260133.05280954,Aave
2020-12-27T00:00:00+00:00,1802391440.7420926,Compound
2020-12-27T00:00:00+00:00,1082492536.1891093,MakerDAO
2020-12-28T00:00:00+00:00,516857488.3348132,Aave
2020-12-28T00:00:00+00:00,1833717281.1890383,Compound
2020-12-28T00:00:00+00:00,1107486169.2875745,MakerDAO
2020-12-29T00:00:00+00:00,517078421.3070622,Aave
2020-12-29T00:00:00+00:00,1792558494.1587553,Compound
2020-12-29T00:00:00+00:00,1112095958.9443593,MakerDAO
2020-12-30T00:00:00+00:00,638118413.339536,Aave
2020-12-30T00:00:00+00:00,1725561408.0448964,Compound
2020-12-30T00:00:00+00:00,1135874075.5451722,MakerDAO
2020-12-31T00:00:00+00:00,642103749.2988192,Aave
2020-12-31T00:00:00+00:00,1702087403.2018766,Compound
2020-12-31T00:00:00+00:00,1156991201.778123,MakerDAO
2021-01-01T00:00:00+00:00,665780319.6669526,Aave
2021-01-01T00:00:00+00:00,1722962620.9680042,Compound
2021-01-01T00:00:00+00:00,1186213747.6665142,MakerDAO
2021-01-02T00:00:00+00:00,675462594.261294,Aave
2021-01-02T00:00:00+00:00,1889361227.3102129,Compound
2021-01-02T00:00:00+00:00,1166245517.479918,MakerDAO
2021-01-03T00:00:00+00:00,684203714.7941562,Aave
2021-01-03T00:00:00+00:00,1640730069.0065072,Compound
2021-01-03T00:00:00+00:00,1212459999.5385084,MakerDAO
2021-01-04T00:00:00+00:00,602422354.0598496,Aave
2021-01-04T00:00:00+00:00,1585323890.885987,Compound
2021-01-04T00:00:00+00:00,1307254346.9051466,MakerDAO
2021-01-05T00:00:00+00:00,654836395.380007,Aave
2021-01-05T00:00:00+00:00,1628507697.6008904,Compound
2021-01-05T00:00:00+00:00,1308922379.354748,MakerDAO
2021-01-06T00:00:00+00:00,683348174.9321778,Aave
2021-01-06T00:00:00+00:00,1718641390.3478937,Compound
2021-01-06T00:00:00+00:00,1305807806.4928365,MakerDAO
2021-01-07T00:00:00+00:00,723216353.971046,Aave
2021-01-07T00:00:00+00:00,1748743297.316786,Compound
2021-01-07T00:00:00+00:00,1352890093.7241662,MakerDAO
2021-01-08T00:00:00+00:00,725449734.7570125,Aave
2021-01-08T00:00:00+00:00,1855238835.962759,Compound
2021-01-08T00:00:00+00:00,1384476368.4254,MakerDAO
2021-01-09T00:00:00+00:00,743000052.7106144,Aave
2021-01-09T00:00:00+00:00,1850799220.3808749,Compound
2021-01-09T00:00:00+00:00,1400681169.7647219,MakerDAO
2021-01-10T00:00:00+00:00,774412527.1510893,Aave
2021-01-10T00:00:00+00:00,1839542166.618833,Compound
2021-01-10T00:00:00+00:00,1413439169.1434152,MakerDAO
2021-01-11T00:00:00+00:00,702523532.0770111,Aave
2021-01-11T00:00:00+00:00,1676049933.4458253,Compound
2021-01-11T00:00:00+00:00,1355209424.1976397,MakerDAO
2021-01-12T00:00:00+00:00,710388162.9366632,Aave
2021-01-12T00:00:00+00:00,1696024277.2739606,Compound
2021-01-12T00:00:00+00:00,1352504506.9996014,MakerDAO
2021-01-13T00:00:00+00:00,721171996.6181037,Aave
2021-01-13T00:00:00+00:00,1924510995.0197263,Compound
2021-01-13T00:00:00+00:00,1353283127.3489218,MakerDAO
2021-01-14T00:00:00+00:00,717071548.094523,Aave
2021-01-14T00:00:00+00:00,2023766080.4330592,Compound
2021-01-14T00:00:00+00:00,1388224120.4266467,MakerDAO
2021-01-15T00:00:00+00:00,754105991.6537228,Aave
2021-01-15T00:00:00+00:00,2180466953.368266,Compound
2021-01-15T00:00:00+00:00,1281508278.1487653,MakerDAO
2021-01-16T00:00:00+00:00,771261263.4173932,Aave
2021-01-16T00:00:00+00:00,2262363072.867137,Compound
2021-01-16T00:00:00+00:00,1357199865.1533976,MakerDAO
2021-01-17T00:00:00+00:00,789054265.2875913,Aave
2021-01-17T00:00:00+00:00,2242593850.0855,Compound
2021-01-17T00:00:00+00:00,1367290105.0702956,MakerDAO
2021-01-18T00:00:00+00:00,782559148.291227,Aave
2021-01-18T00:00:00+00:00,2239517430.0201974,Compound
2021-01-18T00:00:00+00:00,1389988288.019623,MakerDAO
2021-01-19T00:00:00+00:00,798542832.0622783,Aave
2021-01-19T00:00:00+00:00,2253354534.5391154,Compound
2021-01-19T00:00:00+00:00,1387966997.259642,MakerDAO
2021-01-20T00:00:00+00:00,777245248.6028852,Aave
2021-01-20T00:00:00+00:00,2280019458.355915,Compound
2021-01-20T00:00:00+00:00,1393381396.6331723,MakerDAO
2021-01-21T00:00:00+00:00,733072242.1187537,Aave
2021-01-21T00:00:00+00:00,2178589223.059951,Compound
2021-01-21T00:00:00+00:00,1386240665.7905474,MakerDAO
2021-01-22T00:00:00+00:00,746700076.487492,Aave
2021-01-22T00:00:00+00:00,1930534685.7856097,Compound
2021-01-22T00:00:00+00:00,1434119125.1166894,MakerDAO
2021-01-23T00:00:00+00:00,773867877.111655,Aave
2021-01-23T00:00:00+00:00,2161571313.6510468,Compound
2021-01-23T00:00:00+00:00,1464328112.0328875,MakerDAO
2021-01-24T00:00:00+00:00,784198154.3054025,Aave
2021-01-24T00:00:00+00:00,2165171008.4727106,Compound
2021-01-24T00:00:00+00:00,1512726509.308008,MakerDAO
2021-01-25T00:00:00+00:00,787606323.7761974,Aave
2021-01-25T00:00:00+00:00,2240934919.9541564,Compound
2021-01-25T00:00:00+00:00,1552745158.9027536,MakerDAO
2021-01-26T00:00:00+00:00,770278259.2498608,Aave
2021-01-26T00:00:00+00:00,2240449277.84417,Compound
2021-01-26T00:00:00+00:00,1560459751.1282823,MakerDAO
2021-01-27T00:00:00+00:00,769024313.3213183,Aave
2021-01-27T00:00:00+00:00,2217074199.011313,Compound
2021-01-27T00:00:00+00:00,1585381530.3403661,MakerDAO
2021-01-28T00:00:00+00:00,770691641.4520892,Aave
2021-01-28T00:00:00+00:00,2260920977.376024,Compound
2021-01-28T00:00:00+00:00,1598587452.491713,MakerDAO
2021-01-29T00:00:00+00:00,809939712.8421546,Aave
2021-01-29T00:00:00+00:00,2293758301.5081005,Compound
2021-01-29T00:00:00+00:00,1616273574.898403,MakerDAO
2021-01-30T00:00:00+00:00,828320856.0569444,Aave
2021-01-30T00:00:00+00:00,2321454652.3353972,Compound
2021-01-30T00:00:00+00:00,1624987287.7550478,MakerDAO
2021-01-31T00:00:00+00:00,844808475.3267996,Aave
2021-01-31T00:00:00+00:00,2308494310.6200595,Compound
2021-01-31T00:00:00+00:00,1622082760.1274452,MakerDAO
2021-02-01T00:00:00+00:00,840241803.8982354,Aave
2021-02-01T00:00:00+00:00,2387496368.2616806,Compound
2021-02-01T00:00:00+00:00,1642833754.6685228,MakerDAO
2021-02-02T00:00:00+00:00,887648177.2253053,Aave
2021-02-02T00:00:00+00:00,2471189688.490254,Compound
2021-02-02T00:00:00+00:00,1681843231.8712456,MakerDAO
2021-02-03T00:00:00+00:00,927548794.9051512,Aave
2021-02-03T00:00:00+00:00,2564481467.2856703,Compound
2021-02-03T00:00:00+00:00,1719192881.3668015,MakerDAO
2021-02-04T00:00:00+00:00,948478744.3629501,Aave
2021-02-04T00:00:00+00:00,2653270215.0497274,Compound
2021-02-04T00:00:00+00:00,1744079447.9309359,MakerDAO
2021-02-05T00:00:00+00:00,987968210.2054743,Aave
2021-02-05T00:00:00+00:00,2726632571.3742557,Compound
2021-02-05T00:00:00+00:00,1801030249.8465834,MakerDAO
2021-02-06T00:00:00+00:00,965394965.8706359,Aave
2021-02-06T00:00:00+00:00,2771495421.1603823,Compound
2021-02-06T00:00:00+00:00,1812057596.665751,MakerDAO
2021-02-07T00:00:00+00:00,964728334.8985904,Aave
2021-02-07T00:00:00+00:00,2761112444.7485876,Compound
2021-02-07T00:00:00+00:00,1790761799.4200006,MakerDAO
2021-02-08T00:00:00+00:00,1005162735.4207726,Aave
2021-02-08T00:00:00+00:00,3148022581.7532578,Compound
