date_trunc,project,usd_volume
2020-06-01T00:00:00+00:00,Balancer,94707733.6637122007567032660399
2020-07-01T00:00:00+00:00,Balancer,390191704.770611851934933252420788
2020-08-01T00:00:00+00:00,Balancer,1190254546.881414665199972028699295
2020-09-01T00:00:00+00:00,Balancer,1152025102.823147344765627412946702
2020-10-01T00:00:00+00:00,Balancer,355254262.332933069953598447053229
2020-11-01T00:00:00+00:00,Balancer,503115484.89228299710150779721
2020-12-01T00:00:00+00:00,Balancer,562464052.133921388920062445771016
2021-01-01T00:00:00+00:00,Balancer,1557197308.75577495280372796848
2021-02-01T00:00:00+00:00,Balancer,2217438136.23696554407803018057
2021-03-01T00:00:00+00:00,Balancer,1924378085.82382689712165105242
2021-04-01T00:00:00+00:00,Balancer,2481703365.1657844054091703170561
2021-05-01T00:00:00+00:00,Balancer,275792898.73449316013819419
2020-01-01T00:00:00+00:00,Bancor Network,5455094.874563615711649804021679
2020-02-01T00:00:00+00:00,Bancor Network,12200394.317846548760617531655547
2020-03-01T00:00:00+00:00,Bancor Network,9597681.053850205157645210201644
2020-04-01T00:00:00+00:00,Bancor Network,9096293.235113128257889268518197
2020-05-01T00:00:00+00:00,Bancor Network,38981493.395666801028404391222145
2020-06-01T00:00:00+00:00,Bancor Network,50665769.3935672126704021615476
2020-07-01T00:00:00+00:00,Bancor Network,103655751.9165763235732735718530
2020-08-01T00:00:00+00:00,Bancor Network,165450485.53321913068758727233
2020-09-01T00:00:00+00:00,Bancor Network,46350334.8946576062100312
2020-10-01T00:00:00+00:00,Bancor Network,39652045.333081901843694031618
2020-11-01T00:00:00+00:00,Bancor Network,94062463.947508289607595174
2020-12-01T00:00:00+00:00,Bancor Network,241452180.843465440671626133
2021-01-01T00:00:00+00:00,Bancor Network,644986784.803529902741088430637
2021-02-01T00:00:00+00:00,Bancor Network,1833452422.978150361572379134681627
2021-03-01T00:00:00+00:00,Bancor Network,2676347514.4535121470913800448
2021-04-01T00:00:00+00:00,Bancor Network,3120061720.28152659456023614469
2021-05-01T00:00:00+00:00,Bancor Network,224186374.07592282478082956624
2020-01-01T00:00:00+00:00,Curve,1089878.563664097363358
2020-02-01T00:00:00+00:00,Curve,49612088.6794340930002125
2020-03-01T00:00:00+00:00,Curve,87141099.57785722283842393028
2020-04-01T00:00:00+00:00,Curve,38380664.55641974710690957403012
2020-05-01T00:00:00+00:00,Curve,37921365.68977371314749641
2020-06-01T00:00:00+00:00,Curve,361421000.155387513737131538822393
2020-07-01T00:00:00+00:00,Curve,1053971350.196466522579326485013971
2020-08-01T00:00:00+00:00,Curve,1867105131.350173155849624797360555
2020-09-01T00:00:00+00:00,Curve,5709514597.1811457153592197886
2020-10-01T00:00:00+00:00,Curve,5201992544.680109982621285040008521
2020-11-01T00:00:00+00:00,Curve,2432883980.570751957259094276010233
2020-12-01T00:00:00+00:00,Curve,2528329533.71724604225828250
2021-01-01T00:00:00+00:00,Curve,6377284480.116021067563818400996312
2021-02-01T00:00:00+00:00,Curve,4881193629.1306946850712235
2021-03-01T00:00:00+00:00,Curve,5284569971.785722977857959
2021-04-01T00:00:00+00:00,Curve,6610995136.565880801674458
2021-05-01T00:00:00+00:00,Curve,369892638.97398970205802
2019-08-01T00:00:00+00:00,DDEX,22565.5696714441
2019-09-01T00:00:00+00:00,DDEX,1882939.785046187117
2019-10-01T00:00:00+00:00,DDEX,2422012.850497333787
2019-11-01T00:00:00+00:00,DDEX,6652492.837049332457
2019-12-01T00:00:00+00:00,DDEX,4535837.256068450762
2020-01-01T00:00:00+00:00,DDEX,11039052.489770197801
2020-02-01T00:00:00+00:00,DDEX,25742274.253879607797
2020-03-01T00:00:00+00:00,DDEX,23280339.291512077988
2020-04-01T00:00:00+00:00,DDEX,14178083.925674034073
2020-05-01T00:00:00+00:00,DDEX,15321296.867829548955
2020-06-01T00:00:00+00:00,DDEX,7072054.934096168786
2020-07-01T00:00:00+00:00,DDEX,7343719.448302745132
2020-08-01T00:00:00+00:00,DDEX,8354867.689459706402
