day,cumulative_volume
2020-07-22T00:00:00+00:00,998009869.5377082
2020-07-23T00:00:00+00:00,1041255498.2267656
2020-07-24T00:00:00+00:00,1106600718.3993235
2020-07-25T00:00:00+00:00,1254879656.1214733
2020-07-26T00:00:00+00:00,1320704171.9301956
2020-07-27T00:00:00+00:00,1389391412.9230719
2020-07-28T00:00:00+00:00,1452835192.6642148
2020-07-29T00:00:00+00:00,1523724773.8074954
2020-07-30T00:00:00+00:00,1575550390.6325655
2020-07-31T00:00:00+00:00,1628992016.8959846
2020-08-01T00:00:00+00:00,1669494937.2535903
2020-08-02T00:00:00+00:00,1719263291.5677469
2020-08-03T00:00:00+00:00,1763149580.1141527
2020-08-04T00:00:00+00:00,1782717412.7676234
2020-08-05T00:00:00+00:00,1812113023.1520345
2020-08-06T00:00:00+00:00,1834577025.243054
2020-08-07T00:00:00+00:00,1864619685.2138894
2020-08-08T00:00:00+00:00,1892963260.76471
2020-08-09T00:00:00+00:00,1905810574.1128533
2020-08-10T00:00:00+00:00,1982774175.444733
2020-08-11T00:00:00+00:00,2017040854.795425
2020-08-12T00:00:00+00:00,2083699548.662911
2020-08-13T00:00:00+00:00,2122798651.6479728
2020-08-14T00:00:00+00:00,2280273963.138847
2020-08-15T00:00:00+00:00,2323303307.7485414
2020-08-16T00:00:00+00:00,2399419880.803314
2020-08-17T00:00:00+00:00,2489312495.008985
2020-08-18T00:00:00+00:00,2531478117.0236073
2020-08-19T00:00:00+00:00,2610182932.07115
2020-08-20T00:00:00+00:00,2702332851.877244
2020-08-21T00:00:00+00:00,2732560459.0587397
2020-08-22T00:00:00+00:00,2772105980.1126723
2020-08-23T00:00:00+00:00,2811410419.586151
2020-08-24T00:00:00+00:00,2904817243.4130797
2020-08-25T00:00:00+00:00,2956865656.3907375
2020-08-26T00:00:00+00:00,2996829058.416615
2020-08-27T00:00:00+00:00,3067154488.4797263
2020-08-28T00:00:00+00:00,3166366651.6065407
2020-08-29T00:00:00+00:00,3231297750.7614393
2020-08-30T00:00:00+00:00,3299676293.5923467
2020-08-31T00:00:00+00:00,3426714652.049784
2020-09-01T00:00:00+00:00,3623445124.596012
2020-09-02T00:00:00+00:00,3800439130.8170094
2020-09-03T00:00:00+00:00,3992777890.701645
2020-09-04T00:00:00+00:00,4198170859.8063097
2020-09-05T00:00:00+00:00,4521731562.407105
2020-09-06T00:00:00+00:00,4675969971.688457
2020-09-07T00:00:00+00:00,4822366370.855066
2020-09-08T00:00:00+00:00,4963114332.277808
2020-09-09T00:00:00+00:00,5136924092.429613
2020-09-10T00:00:00+00:00,5287255556.8011465
2020-09-11T00:00:00+00:00,5449987429.008954
2020-09-12T00:00:00+00:00,5570697960.7707405
2020-09-13T00:00:00+00:00,5711880080.373074
2020-09-14T00:00:00+00:00,5950271828.340015
2020-09-15T00:00:00+00:00,6220966692.643205
2020-09-16T00:00:00+00:00,6390080779.335752
2020-09-17T00:00:00+00:00,6652148735.698192
2020-09-18T00:00:00+00:00,6823775540.4318
2020-09-19T00:00:00+00:00,7348033599.6861105
2020-09-20T00:00:00+00:00,7535780907.983955
2020-09-21T00:00:00+00:00,7720614101.555539
2020-09-22T00:00:00+00:00,7825741482.994322
2020-09-23T00:00:00+00:00,8073883741.026154
2020-09-24T00:00:00+00:00,8271048581.615883
2020-09-25T00:00:00+00:00,8417959048.670127
2020-09-26T00:00:00+00:00,8578861426.706284
2020-09-27T00:00:00+00:00,8667870185.93423
