project,date_trunc,usd_volume
Tokenlon,2021-05-04T00:00:00+00:00,103945184.644031922630
dodo,2021-05-14T00:00:00+00:00,46747869.620055286062
Tokenlon,2021-05-23T00:00:00+00:00,145448663.613563723668
Sushiswap,2021-04-25T00:00:00+00:00,312825551.06377940970656439644
Balancer,2021-05-03T00:00:00+00:00,139015723.49140749438247
dYdX,2021-05-03T00:00:00+00:00,27359583.789191540451
Uniswap,2021-05-20T00:00:00+00:00,3436021506.000969325295525869585664
Sushiswap,2021-05-11T00:00:00+00:00,549510542.6735837935335116134
1inch LP,2021-05-22T00:00:00+00:00,35787.1896921619
1inch LP,2021-04-28T00:00:00+00:00,17945.0391247382
DDEX,2021-05-17T00:00:00+00:00,165310.8816482136
Sushiswap,2021-04-29T00:00:00+00:00,342180949.77976629084110209506109
Balancer,2021-05-17T00:00:00+00:00,183312659.366527434130552
dodo,2021-05-04T00:00:00+00:00,60717332.6438121512786
Balancer,2021-04-30T00:00:00+00:00,82301195.12165069224575316276
Curve,2021-05-10T00:00:00+00:00,169012963.796265450775
Kyber,2021-05-07T00:00:00+00:00,5815656.700916153299437
Kyber,2021-05-21T00:00:00+00:00,11797290.6092681255759
Curve,2021-05-05T00:00:00+00:00,161979405.1017876011465
0x Native,2021-05-14T00:00:00+00:00,345476311.598139205244145115
Bancor Network,2021-05-20T00:00:00+00:00,280148730.8487713838870575
0x Native,2021-05-22T00:00:00+00:00,431036114.2987290020851551952
1inch LP,2021-04-30T00:00:00+00:00,24239.1218823496
airswap,2021-05-23T00:00:00+00:00,3577839.5664802016046
Balancer,2021-04-24T00:00:00+00:00,62068136.06295157805644674072
dYdX,2021-05-13T00:00:00+00:00,64475851.306378195085
Bancor Network,2021-05-15T00:00:00+00:00,150994350.95339990178896
1inch LP,2021-05-05T00:00:00+00:00,60276.0783761878
LINKSWAP,2021-05-19T00:00:00+00:00,105515.2013682688951
Mooniswap,2021-05-17T00:00:00+00:00,1188611.7985235963594
LINKSWAP,2021-05-22T00:00:00+00:00,28383.08373093993525
Mooniswap,2021-05-09T00:00:00+00:00,198540.834382106755
Balancer,2021-04-26T00:00:00+00:00,108261474.5510923551916009
Balancer,2021-05-04T00:00:00+00:00,165490376.4396126941227925712
LINKSWAP,2021-05-07T00:00:00+00:00,199123.176564729124876
Kyber,2021-05-03T00:00:00+00:00,11887018.1316010109712
Curve,2021-05-04T00:00:00+00:00,343943219.01749996029945
0x Native,2021-04-24T00:00:00+00:00,152822172.3079732817317101848
Tokenlon,2021-05-19T00:00:00+00:00,275401162.556437618266
Mooniswap,2021-05-07T00:00:00+00:00,550692.261108317061
1inch LP,2021-05-15T00:00:00+00:00,11831.9062182673
Synthetix,2021-05-09T00:00:00+00:00,17646158.20534375363252224866
Uniswap,2021-05-05T00:00:00+00:00,1522695194.5947874802368655639043
0x Native,2021-05-09T00:00:00+00:00,386931643.954538926440750864842436
dYdX,2021-04-27T00:00:00+00:00,13756605.1036080766262
Balancer,2021-05-21T00:00:00+00:00,163599627.23240439450846
1inch LP,2021-05-03T00:00:00+00:00,56717.9923865561
Synthetix,2021-05-07T00:00:00+00:00,12857304.63803878862862804987
Synthetix,2021-05-08T00:00:00+00:00,7543690.27311668786871038702
Uniswap,2021-05-06T00:00:00+00:00,1243720555.827852892743956662469769
airswap,2021-04-27T00:00:00+00:00,4344834.65586457810064
Futureswap,2021-05-02T00:00:00+00:00,
dYdX,2021-05-23T00:00:00+00:00,24297652.3618797826555
dodo,2021-05-19T00:00:00+00:00,189710376.8868056985787
0x Native,2021-05-23T00:00:00+00:00,670520958.30913504819527580008
Tokenlon,2021-05-16T00:00:00+00:00,158943379.542088645507
Uniswap,2021-05-02T00:00:00+00:00,1588419665.37715607707954531024
1inch LP,2021-05-06T00:00:00+00:00,4357.4674971303
0x Native,2021-05-08T00:00:00+00:00,378132755.6188493726813228
Sushiswap,2021-04-28T00:00:00+00:00,404449574.545057641624420608366
0x Native,2021-05-02T00:00:00+00:00,176233565.883030402005788686858938
Uniswap,2021-05-17T00:00:00+00:00,2971810850.702480376718692475284
Sushiswap,2021-05-12T00:00:00+00:00,1141248664.18722023906466981726
Kyber,2021-05-11T00:00:00+00:00,5173059.328878672223
dodo,2021-04-26T00:00:00+00:00,39409137.8719206412058
Synthetix,2021-05-12T00:00:00+00:00,31606076.83949337407447641551
Curve,2021-05-01T00:00:00+00:00,146634000.82413628727131
DDEX,2021-05-16T00:00:00+00:00,2860.9636845636
dYdX,2021-05-22T00:00:00+00:00,9155147.26417312628
airswap,2021-05-16T00:00:00+00:00,4655196.1567151027439
DDEX,2021-04-29T00:00:00+00:00,121859.94421498548
LINKSWAP,2021-05-10T00:00:00+00:00,193577.56308756492061
LINKSWAP,2021-05-21T00:00:00+00:00,36017.884988011045816
DDEX,2021-04-26T00:00:00+00:00,296695.07210433525
Uniswap,2021-05-16T00:00:00+00:00,2686154840.793020206245113999179204
Bancor Network,2021-04-28T00:00:00+00:00,119423479.51629360729195095323
Balancer,2021-05-10T00:00:00+00:00,173010305.46189438325699
1inch LP,2021-05-13T00:00:00+00:00,1923.2144533998
0x Native,2021-05-04T00:00:00+00:00,383115404.445038024038513398873600
Sushiswap,2021-05-20T00:00:00+00:00,1448606491.89031228369589307783508
dodo,2021-05-15T00:00:00+00:00,40116616.8580372293631
0x Native,2021-05-21T00:00:00+00:00,671132702.41273875767694761520
dodo,2021-04-29T00:00:00+00:00,27234403.6290537859585
0x Native,2021-05-01T00:00:00+00:00,263539302.17060916598562426837796
dYdX,2021-05-21T00:00:00+00:00,22286393.48748063310126
