hour,troves
2021-04-17T06:00:00+00:00,930
2021-04-17T07:00:00+00:00,933
2021-04-17T10:00:00+00:00,933
2021-04-17T11:00:00+00:00,934
2021-04-17T13:00:00+00:00,932
2021-04-17T14:00:00+00:00,931
2021-04-17T16:00:00+00:00,930
2021-04-17T17:00:00+00:00,931
2021-04-17T18:00:00+00:00,932
2021-04-17T19:00:00+00:00,932
2021-04-17T20:00:00+00:00,933
2021-04-17T21:00:00+00:00,935
2021-04-17T22:00:00+00:00,937
2021-04-18T00:00:00+00:00,936
2021-04-18T01:00:00+00:00,938
2021-04-18T02:00:00+00:00,938
2021-04-18T03:00:00+00:00,931
2021-04-18T04:00:00+00:00,928
2021-04-18T05:00:00+00:00,927
2021-04-18T06:00:00+00:00,927
2021-04-18T07:00:00+00:00,926
2021-04-18T08:00:00+00:00,926
2021-04-18T09:00:00+00:00,924
2021-04-18T10:00:00+00:00,922
2021-04-18T11:00:00+00:00,920
2021-04-18T12:00:00+00:00,918
2021-04-18T13:00:00+00:00,914
2021-04-18T14:00:00+00:00,913
2021-04-18T15:00:00+00:00,911
2021-04-18T16:00:00+00:00,913
2021-04-18T17:00:00+00:00,915
2021-04-18T18:00:00+00:00,915
2021-04-18T19:00:00+00:00,919
2021-04-18T20:00:00+00:00,922
2021-04-18T21:00:00+00:00,925
2021-04-18T22:00:00+00:00,927
2021-04-18T23:00:00+00:00,928
2021-04-19T00:00:00+00:00,929
2021-04-19T01:00:00+00:00,930
2021-04-19T02:00:00+00:00,933
2021-04-19T03:00:00+00:00,932
2021-04-19T04:00:00+00:00,933
2021-04-19T05:00:00+00:00,935
2021-04-19T06:00:00+00:00,934
2021-04-19T08:00:00+00:00,934
2021-04-19T10:00:00+00:00,931
2021-04-19T11:00:00+00:00,933
2021-04-19T12:00:00+00:00,928
2021-04-19T13:00:00+00:00,927
2021-04-19T14:00:00+00:00,926
2021-04-19T15:00:00+00:00,925
2021-04-19T16:00:00+00:00,926
2021-04-19T19:00:00+00:00,926
2021-04-19T20:00:00+00:00,927
2021-04-19T21:00:00+00:00,926
2021-04-19T23:00:00+00:00,926
2021-04-20T01:00:00+00:00,925
2021-04-20T02:00:00+00:00,920
2021-04-20T05:00:00+00:00,919
2021-04-20T06:00:00+00:00,919
2021-04-20T07:00:00+00:00,917
2021-04-20T08:00:00+00:00,916
2021-04-20T09:00:00+00:00,917
2021-04-20T10:00:00+00:00,918
2021-04-20T13:00:00+00:00,917
2021-04-20T14:00:00+00:00,916
2021-04-20T15:00:00+00:00,915
2021-04-20T16:00:00+00:00,916
2021-04-20T17:00:00+00:00,917
2021-04-20T18:00:00+00:00,917
2021-04-20T20:00:00+00:00,916
2021-04-20T21:00:00+00:00,914
2021-04-20T22:00:00+00:00,909
2021-04-20T23:00:00+00:00,908
2021-04-21T00:00:00+00:00,905
2021-04-21T01:00:00+00:00,903
2021-04-21T02:00:00+00:00,903
