date,frax_rfv,treasury_rfv,dai_rfv
2021-06-16T00:00:00+00:00,29245.98717401054156415777769197687051681984944912727680151943343356875732,5786323.4910593837728601389956526718309075496493723373602152979618580059953746872624,5757077.5038853732312959812179606949603907297999232100834137785284244372380546872624
2021-06-15T00:00:00+00:00,27164.52098323929699414228806922426542184512317999640579254214554994998152,5728827.9059170726280463411729335385632645968425514750674161570294953434926928038952,5701663.3849338333310521988848643142978427517193714786616236148839453935111728038952
2021-06-14T00:00:00+00:00,19117.46520360436472934238013386414147845475211509300212990066853842100380,5545251.9683226611059912607765490835737060958488161704293443628918316142217318964896,5526134.5031190567412619183964152194322276410967010774272144622232931932179318964896
2021-06-13T00:00:00+00:00,15002.33465892404471678001494327280850355098165492309507257614682116119584,5463991.8631442980120316106739136133906289925534554126300501203943573558414090327022,5448989.5284853739673148306589703405821254415718004895349775442475361946455690327022
2021-06-12T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,5358728.8021557261290150610066928086564373642267078881141171704316605197984606669400,5358728.8021557261290150610066928086564373642267078881141171704316605197984606669400
2021-06-11T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,5281500.5280171771898582085649820792403318423391279780816162128292564205482493897242,5281500.5280171771898582085649820792403318423391279780816162128292564205482493897242
2021-06-10T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,5174423.1165756260092044184511973828316420838473476830552888080364230729253372389330,5174423.1165756260092044184511973828316420838473476830552888080364230729253372389330
2021-06-09T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,5088699.4637892185652114413307791126497535024987791488371614927860642342548254705290,5088699.4637892185652114413307791126497535024987791488371614927860642342548254705290
2021-06-08T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,4995718.2293139864007193415910484328617539471904466109145485438770308793849540949268,4995718.2293139864007193415910484328617539471904466109145485438770308793849540949268
2021-06-07T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,4905560.6215462144239128780637951181963798049731117526183052469969037481449575778800,4905560.6215462144239128780637951181963798049731117526183052469969037481449575778800
2021-06-06T00:00:00+00:00,0.00000000000000000000000000000000000000000000000000000000000000000000,4833538.3711385783122489564784436724974841042999704950376142316687389036426961387750,4833538.3711385783122489564784436724974841042999704950376142316687389036426961387750
2021-06-05T00:00:00+00:00,0.0000000000000000000000000000000000000000000000000000000000000000,4716339.8714771029046929642080447750822679302142065962005535591233842126819129879264,4716339.8714771029046929642080447750822679302142065962005535591233842126819129879264
2021-06-04T00:00:00+00:00,0.0000000000000000000000000000000000000000000000000000000000000000,4610825.6912639400743751727074087112540965489380360909279145111971652009366216065504,4610825.6912639400743751727074087112540965489380360909279145111971652009366216065504
2021-06-03T00:00:00+00:00,0.0000000000000000000000000000000000000000000000000000000000000000,4589003.5337580269809182596374974532361636765448388930989411451386876287960723830090,4589003.5337580269809182596374974532361636765448388930989411451386876287960723830090
