date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-06-18T00:00:00+00:00,6094319.8205082497356674695371283744331617047326004683490528136393405570529428945122,340523.5958080940000000000000000000,228.6320429356051374825339860939497075372105104191656600209607013370642307130015,198.7214812893952432529870795012117950961630776587673739938090387112577660997012,169.4215724070578735968043286753238845879011009800701095283842209853343510400777,160.7200447916834482639842529202013968645237888913960321214591921178185543792426,152.4213871916145193241948949219438224181797692560611697764558544984516377219937
2021-06-17T00:00:00+00:00,5937352.8355452495709911600850597321236550367899818993459918937496665394324625619956,328691.9745896610000000000000000000,229.3667382840112311679660386723153530397670052685010195606614826132462667054027,199.3600608430617803106445953927131294239776710552771223703830382969486981115509,169.9659984619926574048083163309841868015495798462825252415901865841687329098415,161.2365090098566047544104797889374368819861773305710092343504748540877356012483,152.9111841716416091578380522142375625745057251813075251399889538845230558951736
2021-06-16T00:00:00+00:00,5786323.4910593837728601389956526718309075496493723373602152979618580059953746872624,324555.8469413700000000000000000000,228.3282244269485860979213985708810854921564745963973586971391223847837163951349,198.4574095376488368804179785609704140805704212356791388332828421105870669086130,169.1964359441104734751507960751784665825843441481772178071540584333455107033581,160.5064713848553579679406775605713858879903151342244574417908097038090836986134,152.2188414856438037099057499209456945929889933546396548807108000901201406140708
2021-06-15T00:00:00+00:00,5728827.9059170726280463411729335385632645968425514750674161570294953434926928038952,319506.6137825530000000000000000000,228.7794834245538196517808570735971562271664116224535918637326208399789167277953,198.8496330217146152275433981429363377656448772471864408878631207488080058684489,169.5308291811889902369376354611773373307836226992738793257709728892282791857577,160.8236901149009560261274746970131452093296788180361550262035378497085119591131,152.5196808671869221575213858698687416590085984042564425827277445988707814101557
2021-06-14T00:00:00+00:00,5545251.9683226611059912607765490835737060958488161704293443628918316142217318964896,308330.4910388210000000000000000000,229.0201802356218292795074824170843487329525192282327217202357498931288740694793,199.0588409097381696963287940074596517983740152392056737361910458228113641707607,169.7091910226916369521112404449370797475270500192675275753725070674967539947034,160.9928912546859054169150284899531750958278009074553059200153177533960112140057,152.6801454344650839342234862547527283594696052770803921387374356844495352063211
2021-06-13T00:00:00+00:00,5463991.8631442980120316106739136133906289925534554126300501203943573558414090327022,304929.1493332810000000000000000000,228.7293283928981651564805858625994808854290513567040802144394615307035847561467,198.8060394726356903127347043685698226902678996834428574948830588268876365673883,169.4936631557355062346188203655041460211463616026092787542280791846920909905845,160.7884329443367430632330628942940882096011467883523320774877098370736025467941,152.4862441738807815649827978556180684728763621212325827824674388364651211575886
2021-06-12T00:00:00+00:00,5358728.8021557261290150610066928086564373642267078881141171704316605197984606669400,299087.5041965400000000000000000000,228.7206428762244169806298356409881226535341625585695825630711767377445454071286,198.7984902301191585815694021473578859741183954584827355235806870958636157083185,169.4872269892509658717048452649504506220824245012020496696830137369561481547907,160.7823273407174074753359068613417034345873469569045138780684741715876143998041,152.4804538284729794615353915456073666555366076786200804531507762256566700339831
2021-06-11T00:00:00+00:00,5281500.5280171771898582085649820792403318423391279780816162128292564205482493897242,293009.9356709710000000000000000000,229.1972363675805109109394033105869353494831408386534036913272094744203087736131,199.2127338477639641015768942023495896992403119420929348669239600114288216873884,169.8403936655740265818860854983446742567643118381020712816017309134360722614349,161.1173553022168823950640923331964878008822537581805271104198712462567675348857,152.7981828753128867566312271119600344182751242403118414976315095905764750273886
2021-06-10T00:00:00+00:00,5174423.1165756260092044184511973828316420838473476830552888080364230729253372389330,290516.2355635910000000000000000000,228.2512565129265883053921930065775583462230338809422944025741139855362165375744,198.3905108751087215113396442756656452502483672230746665696984301163326711371729,169.1394009596390673215018696568097682176748172130041301708115274105767421162041,160.4523657291900142784745206661399088085024454838546279237356909799072866701804,152.1675295344673798175712027359130106202839626532178157697025695771043499020436
2021-06-09T00:00:00+00:00,5088699.4637892185652114413307791126497535024987791488371614927860642342548254705290,285259.0141745560000000000000000000,228.3746073829858462328786375723856134059146322763421051664061708716570810912131,198.4977244891838730599602086440252352137507658170217330313260773097683484037917,169.2308067752670378025753065139433321970676400539726594413472471260245529155417,160.5390769228900190248122127912040299423695941118212827247246156328488175545356,152.2497634614546837170314984601325982234958030615840947375227298210451800844842
2021-06-08T00:00:00+00:00,4995718.2293139864007193415910484328617539471904466109145485438770308793849540949268,279311.0070319810000000000000000000,228.5831062151564080132777995022257285354448778434116756826699695574839459088734,198.6789466671605306411235117537351725918386901244938523132891758089596681355789,169.3853091780703097884545802863439095493155195327949695455854736221492756493567,160.6856440497686628431120212398293135535908813922128036553799184171901023751530,152.3887627059141293594808619782204344184787865169863266813450068398694841529697
