date_trunc,sum
2021-03-18T00:00:00+00:00,10332705450.248418804802730035000000000000000000
2021-03-19T00:00:00+00:00,11814523237.126560571541990149000000000000000000
2021-03-20T00:00:00+00:00,10189155294.792636587646575073000000000000000000
2021-03-21T00:00:00+00:00,9341126600.692621573357670076000000000000000000
2021-03-22T00:00:00+00:00,12557372170.142859264472716042000000000000000000
2021-03-23T00:00:00+00:00,12936064388.950282524919227426000000000000000000
2021-03-24T00:00:00+00:00,13692485547.863597318633977935000000000000000000
2021-03-25T00:00:00+00:00,12433218145.490470685352885088000000000000000000
2021-03-26T00:00:00+00:00,12692382202.638594121500822543000000000000000000
2021-03-27T00:00:00+00:00,9689593688.466607833983707708000000000000000000
2021-03-28T00:00:00+00:00,7538382109.459827096901998353000000000000000000
2021-03-29T00:00:00+00:00,15268878003.711029581244900611000000000000000000
2021-03-30T00:00:00+00:00,11518947438.586606905732516233000000000000000000
2021-03-31T00:00:00+00:00,13573503284.840183351320366352000000000000000000
2021-04-01T00:00:00+00:00,13232053345.893310565335411869000000000000000000
2021-04-02T00:00:00+00:00,16758353753.493724168490181698000000000000000000
2021-04-03T00:00:00+00:00,12276271555.847956545136756991000000000000000000
2021-04-04T00:00:00+00:00,8659858896.784823002332639102000000000000000000
2021-04-05T00:00:00+00:00,13412678082.203029437704973209000000000000000000
2021-04-06T00:00:00+00:00,14394363316.335973166057186422000000000000000000
2021-04-07T00:00:00+00:00,16558098189.508834728665262157000000000000000000
2021-04-08T00:00:00+00:00,15900420675.403980360605392618000000000000000000
2021-04-09T00:00:00+00:00,13623412910.952121102281930528000000000000000000
2021-04-10T00:00:00+00:00,9561307919.106193589625093472000000000000000000
2021-04-11T00:00:00+00:00,7716226637.683200215082013642000000000000000000
2021-04-12T00:00:00+00:00,14800958259.440986419502056454000000000000000000
2021-04-13T00:00:00+00:00,24164048465.146524417200580007000000000000000000
2021-04-14T00:00:00+00:00,19145069453.129324622573828639000000000000000000
2021-04-15T00:00:00+00:00,13508719421.108798267885660166000000000000000000
2021-04-16T00:00:00+00:00,24453204672.074401957891784152000000000000000000
2021-04-17T00:00:00+00:00,13189609469.488955718603568084000000000000000000
2021-04-18T00:00:00+00:00,23718352798.558692775780558090000000000000000000
2021-04-19T00:00:00+00:00,26149095606.798175526951902013000000000000000000
2021-04-20T00:00:00+00:00,17145525196.032865365260099886000000000000000000
2021-04-21T00:00:00+00:00,18436088218.173707058076628885000000000000000000
2021-04-22T00:00:00+00:00,19686034238.572688231008864811000000000000000000
2021-04-23T00:00:00+00:00,26918726778.838307130833199236000000000000000000
2021-04-24T00:00:00+00:00,10828968542.168412162474431064000000000000000000
2021-04-25T00:00:00+00:00,10226601781.272772614420715745000000000000000000
2021-04-26T00:00:00+00:00,21373553079.072445793182566963000000000000000000
2021-04-27T00:00:00+00:00,18207127919.937141176454847355000000000000000000
2021-04-28T00:00:00+00:00,18747015473.331332614146647367000000000000000000
2021-04-29T00:00:00+00:00,17307682709.157749011356621088000000000000000000
2021-04-30T00:00:00+00:00,17440215540.639784010412782663000000000000000000
2021-05-01T00:00:00+00:00,13613633973.876336887149534210000000000000000000
2021-05-02T00:00:00+00:00,10120347903.508874109724848077000000000000000000
2021-05-03T00:00:00+00:00,23304186786.433150803811586404000000000000000000
2021-05-04T00:00:00+00:00,22042323409.226540172331036332000000000000000000
